crop_type,variety_name,company,yield_potential,price_kg,suitable_regions,disease_resistance,special_features
Wheat,Elite WHE301,IFFCO,4.92,54.04,"Maharashtra, Odisha",High,"High Protein Content, Flood Resistant, High Sugar Recovery"
Chickpea,Super CHI562,Advanta,7.15,115.39,"Tamil Nadu, Gujarat",Moderate,Early Maturing
Potato,Pro POT445,Monsanto,4.74,102.83,"Odisha, Maharashtra",High,"Early Maturing, High Oil Content"
Pea,Gold PEA310,Advanta,5.61,69.05,"Madhya Pradesh, Haryana, Rajasthan, Gujarat",Moderate,Drought Tolerant
Rice,Super RIC442,Syngenta,6.02,108.22,"Bihar, West Bengal",Moderate,"High Sugar Recovery, High Protein Content, Flood Resistant"
Chickpea,Super CHI441,Advanta,7.58,31.84,"West Bengal, Gujarat, Telangana",Low,"Early Maturing, Good Milling Quality, Export Quality"
Groundnut,Hybrid GRO533,Mahyco,3.46,58.92,"Telangana, Gujarat, Tamil Nadu",High,Drought Tolerant
Mustard,Ultra MUS356,Bayer CropScience,4.1,91.71,"Punjab, Gujarat, Bihar",High,"Early Maturing, Export Quality, Pest Resistant"
Barley,Prime BAR996,Bayer CropScience,7.82,24.15,"Telangana, Gujarat, Bihar",Low,High Sugar Recovery
Groundnut,Super GRO165,Syngenta,5.21,20.38,"Karnataka, Odisha, Bihar, Kerala",High,"High Protein Content, Early Maturing"
Onion,Plus ONI610,Rasi Seeds,2.77,39.59,"Gujarat, Odisha, West Bengal, Rajasthan",High,"High Oil Content, Drought Tolerant, High Sugar Recovery"
Wheat,Hybrid WHE793,IFFCO,4.67,118.4,"Tamil Nadu, Karnataka",Moderate,Heat Tolerant
Tomato,Super TOM943,Monsanto,3.33,71.37,"Bihar, Uttar Pradesh, Telangana, Rajasthan",High,"Pest Resistant, Flood Resistant, High Sugar Recovery"
Pea,Elite PEA316,Bayer CropScience,4.76,104.66,"West Bengal, Telangana, Madhya Pradesh, Bihar",Low,"Flood Resistant, High Protein Content, Export Quality"
Rice,Super RIC707,IFFCO,7.51,82.08,"Kerala, Odisha, West Bengal",Low,High Oil Content
Pulses,Plus PUL599,Monsanto,6.75,103.31,"Tamil Nadu, Gujarat",Low,Export Quality
Mustard,Hybrid MUS312,Advanta,4.43,44.78,"Haryana, Uttar Pradesh, Andhra Pradesh",High,"Export Quality, Pest Resistant"
Groundnut,Super GRO212,Monsanto,6.79,88.39,"Punjab, Kerala",Moderate,"Early Maturing, Pest Resistant"
Cotton,Prime COT252,Syngenta,6.56,52.66,"Bihar, Haryana, Madhya Pradesh",Low,Early Maturing
Barley,Max BAR441,Bayer CropScience,7.34,31.09,"Maharashtra, Gujarat, Kerala, Rajasthan",Low,High Oil Content
Wheat,Max WHE411,Mahyco,5.27,42.21,"West Bengal, Bihar, Andhra Pradesh, Punjab",High,"Flood Resistant, High Sugar Recovery, High Oil Content"
Pulses,Super PUL637,Bayer CropScience,3.12,36.28,"Kerala, West Bengal, Rajasthan",Low,"Pest Resistant, Heat Tolerant, High Protein Content"
Potato,Plus POT913,Rasi Seeds,3.13,49.98,"Telangana, Maharashtra, Odisha",Moderate,"Pest Resistant, High Oil Content"
Wheat,Hybrid WHE326,Rasi Seeds,4.93,60.94,"Kerala, Madhya Pradesh, Andhra Pradesh",Low,"Early Maturing, Good Milling Quality"
Pulses,Ultra PUL213,Pioneer,5.22,25.7,"Madhya Pradesh, Tamil Nadu, Uttar Pradesh, Andhra Pradesh",Moderate,Export Quality
Sunflower,Pro SUN386,Mahyco,2.8,30.93,"Haryana, Odisha, West Bengal",Low,"High Sugar Recovery, Drought Tolerant"
Potato,Prime POT384,Syngenta,2.71,70.47,"Kerala, Telangana, Karnataka, Gujarat",High,"Export Quality, Flood Resistant"
Wheat,Pro WHE146,Mahyco,4.83,60.54,"Andhra Pradesh, Karnataka, Punjab",Low,Good Milling Quality
Banana,Super BAN526,Syngenta,6.86,51.84,"Maharashtra, Telangana, Odisha, Uttar Pradesh",Low,"Early Maturing, Good Milling Quality, Export Quality"
Rice,Max RIC213,Mahyco,3.48,46.66,"Madhya Pradesh, Odisha",High,"Drought Tolerant, Heat Tolerant, Early Maturing"
Soybean,Plus SOY544,Monsanto,5.09,36.87,"Haryana, Gujarat, West Bengal",Moderate,"High Protein Content, Early Maturing, Pest Resistant"
Pea,Prime PEA518,Mahyco,3.1,23.71,"Odisha, Punjab",Moderate,"High Protein Content, High Oil Content, Heat Tolerant"
Barley,Prime BAR347,Pioneer,5.97,38.41,"Gujarat, Tamil Nadu, Telangana, Rajasthan",Moderate,"Drought Tolerant, Good Milling Quality, Pest Resistant"
Groundnut,Super GRO960,Pioneer,5.47,57.91,"Punjab, Madhya Pradesh, Tamil Nadu, Rajasthan",Moderate,Export Quality
Sorghum,Max SOR446,Kaveri Seeds,6.76,56.19,"Maharashtra, Madhya Pradesh",Low,"Export Quality, High Oil Content"
Groundnut,Elite GRO383,Bayer CropScience,6.87,117.65,"Punjab, Andhra Pradesh, Bihar, Gujarat",Moderate,"High Sugar Recovery, Export Quality, Flood Resistant"
Groundnut,Prime GRO895,Advanta,4.84,54.78,"Gujarat, Madhya Pradesh",High,"Pest Resistant, Early Maturing, High Sugar Recovery"
Groundnut,Elite GRO101,Rasi Seeds,4.73,40.34,"Madhya Pradesh, Punjab, Bihar, West Bengal",Low,"High Oil Content, Heat Tolerant, Export Quality"
Sunflower,Max SUN447,Nuziveedu Seeds,6.06,24.46,"Punjab, West Bengal, Karnataka",High,"High Protein Content, Export Quality"
Mustard,Gold MUS764,Monsanto,6.78,59.2,"Gujarat, West Bengal, Rajasthan, Tamil Nadu",Moderate,"Heat Tolerant, High Oil Content, Flood Resistant"
